2024-10-08 14:25:03.905429,0x336918e8,13.1125,1.25
2024-10-08 14:26:03.940613,0x336918e8,13.1775,
2024-10-08 14:27:04.809683,0x336918e8,13.11,
2024-10-08 14:28:04.206719,0x336918e8,13.17875,-1.25
2024-10-08 14:29:05.370522,0x336918e8,13.115,1.25
2024-10-08 14:30:04.587298,0x336918e8,13.1775,
2024-10-20 10:00:21.037844,0x433acb14,4.58625,-3.75
2024-10-20 10:02:51.511087,0x433aad0c,4.4475,-5.0
2024-10-20 10:04:01.499654,0x433aad0c,4.45625,-3.75
2024-10-20 10:05:20.618698,0x433acb14,4.5875,-2.5
2024-10-20 10:10:20.895452,0x433acb14,4.5625,-2.5
2024-10-20 10:15:03.738531,0x433acb14,4.565,-2.5
2024-10-20 10:20:03.426409,0x433acb14,4.59,-3.75
2024-10-20 10:25:03.661154,0x433acb14,4.56625,-2.5
2024-10-20 10:26:13.146955,0x433aad0c,4.48125,-3.75
2024-10-20 10:26:23.692096,0x433ad35c,4.40875,-2.5
2024-10-20 10:26:51.354570,0x433b0b38,4.45625,-2.5
2024-10-20 10:30:05.777823,0x433acb14,4.59,-3.75
2024-10-20 10:30:55.399703,0x433b0b38,4.44125,-3.75
2024-10-20 10:31:06.070627,0x433aad0c,4.4775,-5.0
2024-10-20 10:31:08.401066,0x433ad35c,4.39375,-2.5
2024-10-20 10:35:05.049564,0x433acb14,4.58875,-3.75
2024-10-20 10:35:56.770036,0x433b0b38,4.46,-3.75
2024-10-20 10:36:06.529823,0x433aad0c,4.47875,-3.75
2024-10-20 10:36:09.261814,0x433ad35c,4.41125,-1.25
2024-10-20 10:40:04.433578,0x433acb14,4.5725,-3.75
2024-10-20 10:40:57.398827,0x433b0b38,4.4375,-3.75
2024-10-20 10:41:09.118161,0x433ad35c,4.3925,-1.25
2024-10-20 10:41:14.950514,0x433aad0c,4.455,-3.75
2024-10-20 10:45:06.178351,0x433acb14,4.56875,-3.75
2024-10-20 10:45:56.900599,0x433b0b38,4.45875,-3.75
2024-10-20 10:46:07.964343,0x433aad0c,4.47375,-2.5
2024-10-20 10:46:09.719443,0x433ad35c,4.3925,-1.25
